Current Fee Category,Keyword's Recommended Seller Facing Fee Category,SPS Team Next Step for JP marketplace
Sports and Outdoors,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tires,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Toys and Games,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Game Consoles,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Baby Products,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Backpacks, Handbags, and Luggage",Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Beer,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Clothing and Accessories,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Compact Appliances,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Computers,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Consumer Electronics,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Electronic Accessories,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Eyewear,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Footwear,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Full-Size Appliances,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Grocery and Gourmet,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen Appliances,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Jewelry,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Musical Instruments and AV Production,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Beauty, Health and Personal Care",Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Pet Products,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Professional Medical Supplies,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Sports and Outdoors,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
